name,longitude,latitude,population,country_name,country_gdp
Irbid,35.85,32.55556,307480,Jordan,43697659275.3137
Toyonaka,135.46932,34.78244,384459,Japan,4975415241562.52
Ōmuta,130.45,33.03333,131974,Japan,4975415241562.52
Nishinomiya-hama,135.33199,34.71562,468925,Japan,4975415241562.52
Maebashi,139.08333,36.4,282711,Japan,4975415241562.52
Kamakura,139.55028,35.30889,166016,Japan,4975415241562.52
Hatsukaichi,132.33333,34.35,77341,Japan,4975415241562.52
Kamifukuoka,139.51369,35.87266,52323,Japan,4975415241562.52
Tendō,140.36972,38.35361,65393,Japan,4975415241562.52
Miyako,141.94057,39.64691,51721,Japan,4975415241562.52
Ichihara,140.08333,35.51667,283531,Japan,4975415241562.52
Hachinohe,141.5,40.5,239046,Japan,4975415241562.52
Aomori,140.73333,40.81667,298394,Japan,4975415241562.52
Osh,72.7985,40.52828,200000,Kyrgyzstan,7735976612.64163
Bishkek,74.59,42.87,900000,Kyrgyzstan,7735976612.64163
Sihanoukville,103.52958,10.60932,156691,Cambodia,25291251427.3979
Manp’o,126.28944,41.15472,116760,North Korea,0.0
Suncheon,127.48784,34.9505,230796,South Korea,1630525005469.11
Gunsan,126.71139,35.97861,243406,South Korea,1630525005469.11
Petropavl,69.15,54.86667,200920,Kazakhstan,169835426427.153
Pyapon,95.67882,16.28543,65601,Myanmar,76185586096.7974
Bogale,95.39742,16.29415,68938,Myanmar,76185586096.7974
Erdenet,104.08333,49.03333,79647,Mongolia,13137128659.479
Vacoas,57.47833,-20.29806,110000,Mauritius,10914065306.2423
Quatre Bornes,57.4791,-20.26381,80961,Mauritius,10914065306.2423
Álvaro Obregón,-99.20329,19.35867,726664,Mexico,1076163316174.94
Villahermosa,-92.93028,17.98689,353577,Mexico,1076163316174.94
Agía Paraskeví,23.83333,38.01667,59704,Greece,189410106620.016
Kavála,24.40687,40.93959,54027,Greece,189410106620.016
Quetzaltenango,-91.51806,14.83472,132230,Guatemala,77604632170.5853
La Ceiba,-86.78221,15.75971,130218,Honduras,23827840809.7014
Sesvete,16.11639,45.83111,52411,Croatia,55966581780.1688
Léogâne,-72.63343,18.5111,134190,Haiti,13417997065.1099
Kispest,19.14017,47.4515,61453,Hungary,155012927629.087
Dunaújváros,18.93974,46.96479,50084,Hungary,155012927629.087
Budapest IV. kerület,19.08909,47.56182,98374,Hungary,155012927629.087
Yogyakarta,110.36472,-7.80139,636660,Indonesia,1058423838345.14
Makassar,119.43194,-5.14861,1321717,Indonesia,1058423838345.14
Sorong,131.26104,-0.87956,125535,Indonesia,1058423838345.14
Sidoarjo,112.7183,-7.4478,139189,Indonesia,1058423838345.14
Sampang,113.2394,-7.1872,53269,Indonesia,1058423838345.14
Purwokerto,109.23444,-7.42139,217222,Indonesia,1058423838345.14
Parepare,119.6255,-4.0135,140000,Indonesia,1058423838345.14
Kediri,112.01667,-7.81667,235143,Indonesia,1058423838345.14
Gresik,112.65611,-7.15389,73629,Indonesia,1058423838345.14
Boyolali,110.59583,-7.53306,59851,Indonesia,1058423838345.14
Dublin,-6.24889,53.33306,1024027,Ireland,425888950992.003
Nazareth,35.29722,32.70056,64800,Israel,401953767072.801
Sāmalkot,82.17639,17.05675,55097,India,2622983732006.45
Kanjia,119.58208,36.37227,75669,China,14722730697890.1
Taitou,118.63392,37.02733,60354,China,14722730697890.1
Arauca,-70.75908,7.08471,69264,Colombia,271346896626.418
Manzanillo,-77.12126,20.34173,128188,Cuba,0.0
Güines,-82.02641,22.83727,68935,Cuba,0.0
Bartolomé Masó,-76.94291,20.16635,53024,Cuba,0.0
Stolberg,6.22595,50.77368,56377,Germany,3846413928653.71
Schweinfurt,10.22175,50.04937,54012,Germany,3846413928653.71
Potsdam,13.06566,52.39886,145292,Germany,3846413928653.71
Pankow,13.40186,52.56926,57113,Germany,3846413928653.71
Bajos de Haina,-70.03317,18.41538,66784,Dominican Republic,78844702329.0785
Tébessa,8.12417,35.40417,634332,Algeria,145163902228.168
Khenchela,7.14333,35.43583,117000,Algeria,145163902228.168
Guelma,7.42608,36.46214,123590,Algeria,145163902228.168
Chelghoum el Aïd,6.16651,36.16286,71660,Algeria,145163902228.168
Bir el Ater,8.06024,34.74488,68703,Algeria,145163902228.168
Annaba,7.76667,36.9,206570,Algeria,145163902228.168
Loja,-79.20422,-3.99313,117796,Ecuador,98808010000.0
Kafr az Zayyāt,30.81805,30.8248,73725,Egypt,363069245165.315
Basyūn,30.81338,30.93976,55523,Egypt,363069245165.315
Luxor,32.6421,25.69893,422407,Egypt,363069245165.315
Al Minyā,30.75813,28.09193,227150,Egypt,363069245165.315
Keren,38.45107,15.77792,74800,Eritrea,0.0
San Fernando,-6.19817,36.4759,96366,Spain,1281484640043.58
Elche,-0.70107,38.26218,230112,Spain,1281484640043.58
Castelló de la Plana,-0.04935,39.98567,180005,Spain,1281484640043.58
Almería,-2.45974,36.83814,188810,Spain,1281484640043.58
Lawrence,-95.23525,38.97167,93917,United States,20936600000000.0
Rockville,-77.15276,39.084,66980,United States,20936600000000.0
Fayetteville,-78.87836,35.05266,201963,United States,20936600000000.0
Enid,-97.87839,36.39559,51776,United States,20936600000000.0
Cedar Park,-97.82029,30.5052,65945,United States,20936600000000.0
Centreville,-77.42888,38.84039,71135,United States,20936600000000.0
Roanoke,-79.94143,37.27097,99897,United States,20936600000000.0
West Haven,-72.94705,41.27065,54927,United States,20936600000000.0
Muncie,-85.38636,40.19338,70087,United States,20936600000000.0
Brookline,-71.12116,42.33176,58732,United States,20936600000000.0
Flint,-83.68746,43.01253,98310,United States,20936600000000.0
Kalamazoo,-85.58723,42.29171,76041,United States,20936600000000.0
Burnsville,-93.27772,44.76774,61481,United States,20936600000000.0
Saint Cloud,-94.16249,45.5608,65842,United States,20936600000000.0
West Coon Rapids,-93.34967,45.15969,62528,United States,20936600000000.0
Al Kharj,47.33457,24.15541,425300,Saudi Arabia,700117873249.269
Dammam,50.10326,26.43442,768602,Saudi Arabia,700117873249.269
Abha,42.50528,18.21639,210886,Saudi Arabia,700117873249.269
Košice,21.25808,48.71395,236563,Slovakia,104574146248.364
Martin,18.92399,49.06651,54618,Slovakia,104574146248.364
