name,longitude,latitude,population,country_name,country_gdp
Irbid,35.85,32.55556,307480,Jordan,43697659275.3137
Yanagawa,130.4,33.16667,40386,Japan,4975415241562.52
Yamaga,130.68911,33.01667,32298,Japan,4975415241562.52
Toyonaka,135.46932,34.78244,384459,Japan,4975415241562.52
Tanuma,139.58333,36.36667,28723,Japan,4975415241562.52
Saiki,131.9,32.95,49065,Japan,4975415241562.52
Ōmuta,130.45,33.03333,131974,Japan,4975415241562.52
Nishinomiya-hama,135.33199,34.71562,468925,Japan,4975415241562.52
Miyoshi,132.85,34.8,39257,Japan,4975415241562.52
Mifune,130.8222,32.71667,16901,Japan,4975415241562.52
Maebashi,139.08333,36.4,282711,Japan,4975415241562.52
Katsuyama,136.50101,36.06173,27088,Japan,4975415241562.52
Kasamatsuchō,136.76667,35.36667,22273,Japan,4975415241562.52
Kanekomachi,138.99621,36.41097,37107,Japan,4975415241562.52
Kamiichi,137.36667,36.7,20827,Japan,4975415241562.52
Kamakura,139.55028,35.30889,166016,Japan,4975415241562.52
Hiratachō,132.81667,35.43333,28154,Japan,4975415241562.52
Hatsukaichi,132.33333,34.35,77341,Japan,4975415241562.52
Kamifukuoka,139.51369,35.87266,52323,Japan,4975415241562.52
Yokote,140.55034,39.31691,39178,Japan,4975415241562.52
Tendō,140.36972,38.35361,65393,Japan,4975415241562.52
Miyako,141.94057,39.64691,51721,Japan,4975415241562.52
Ichihara,140.08333,35.51667,283531,Japan,4975415241562.52
Hachinohe,141.5,40.5,239046,Japan,4975415241562.52
Aomori,140.73333,40.81667,298394,Japan,4975415241562.52
Fujikawaguchiko,138.68832,35.48933,23097,Japan,4975415241562.52
Kerugoya,37.28031,-0.49887,15287,Kenya,98842939649.1149
Kericho,35.28314,-0.36774,35748,Kenya,98842939649.1149
Osh,72.7985,40.52828,200000,Kyrgyzstan,7735976612.64163
Bishkek,74.59,42.87,900000,Kyrgyzstan,7735976612.64163
Sihanoukville,103.52958,10.60932,156691,Cambodia,25291251427.3979
Hoeyang,127.59833,38.71028,21111,North Korea,0.0
Chunghwa,125.8,38.86389,19346,North Korea,0.0
Manp’o,126.28944,41.15472,116760,North Korea,0.0
Suncheon,127.48784,34.9505,230796,South Korea,1630525005469.11
Gunsan,126.71139,35.97861,243406,South Korea,1630525005469.11
Petropavl,69.15,54.86667,200920,Kazakhstan,169835426427.153
Chiili,66.73376,44.17057,29832,Kazakhstan,169835426427.153
Welisara,79.9014,7.0281,41306,Sri Lanka,80706600228.6499
Butha-Buthe,28.24937,-28.76659,16330,Lesotho,1844510137.67817
Ghat,10.18003,24.96334,24347,Libya,25418461532.2008
Zaïo,-2.7329,34.94282,30008,Morocco,112870591694.044
Jerada,-2.16,34.31,43696,Morocco,112870591694.044
Pljevlja,19.35843,43.3567,19489,Montenegro,4778582336.18234
Budva,18.84,42.28639,18000,Montenegro,4778582336.18234
Vavatenina,49.2,-17.46667,36916,Madagascar,13720634105.403
Sahavato,48.33333,-20.6,28000,Madagascar,13720634105.403
Ankazobe,47.11667,-18.31667,15722,Madagascar,13720634105.403
Lipkovo,21.58528,42.15639,28102,North Macedonia,12266949805.1436
Pyapon,95.67882,16.28543,65601,Myanmar,76185586096.7974
Bogale,95.39742,16.29415,68938,Myanmar,76185586096.7974
Ulaangom,92.06667,49.98111,28085,Mongolia,13137128659.479
Erdenet,104.08333,49.03333,79647,Mongolia,13137128659.479
Vacoas,57.47833,-20.29806,110000,Mauritius,10914065306.2423
Saint Pierre,57.53431,-20.2215,16414,Mauritius,10914065306.2423
Quatre Bornes,57.4791,-20.26381,80961,Mauritius,10914065306.2423
Mulanje,35.5,-16.03163,16483,Malawi,11961848552.5977
Álvaro Obregón,-99.20329,19.35867,726664,Mexico,1076163316174.94
Villahermosa,-92.93028,17.98689,353577,Mexico,1076163316174.94
Agía Paraskeví,23.83333,38.01667,59704,Greece,189410106620.016
Árgos,22.73333,37.63333,22209,Greece,189410106620.016
Ptolemaḯda,21.67861,40.51472,30045,Greece,189410106620.016
Panórama,23.0315,40.58779,16551,Greece,189410106620.016
Náousa,22.06806,40.62944,19887,Greece,189410106620.016
Kavála,24.40687,40.93959,54027,Greece,189410106620.016
Corfu,19.92016,39.62441,27003,Greece,189410106620.016
Quetzaltenango,-91.51806,14.83472,132230,Guatemala,77604632170.5853
El Tejar,-90.79122,14.64683,15770,Guatemala,77604632170.5853
Mangilao Village,144.80109,13.44761,15191,Guam,0.0
Bafatá,-14.66167,12.16583,22521,Guinea-Bissau,1431758242.90375
