city,country
Pristina,Kosovo
Mitrovica,Kosovo
Mitrovicë,Kosovo
Prizren,Kosovo
Willemstad,Curacao
Gjilan,Kosovo
Gjakovë,Kosovo
Glogovac,Kosovo
Ferizaj,Kosovo
Mamoudzou,Mozambique
Suva Reka,Kosovo
Deçan,Kosovo
Vushtrri,Kosovo
Istok,Kosovo
Podujeva,Kosovo
Shtime,Kosovo
Dragash,Kosovo
Peć,Kosovo
Vitina,Kosovo
Orahovac,Kosovo
Obiliq,Kosovo
Leposaviq,Kosovo
Kosovo Polje,Kosovo
Zvečan,Kosovo
Llazicë,Kosovo
Dzaoudzi,France
Koungou,France
Mitrovicë,Kosovo
Prizren,Kosovo
Willemstad,Curacao
Mitrovicë,Kosovo
Prizren,Kosovo

