from,to
St. Lucia,Saint Lucia
Jersey,Channel Islands
Guernsey,Channel Islands
St. Vincent and the Grenadines,Saint Vincent and the Grenadines
Guadeloupe,France
French Guiana,France
Martinique,France
Mayotte,France
Lao PDR,Laos
"Egypt, Arab Rep.",Egypt
"Iran, Islamic Rep. of",Iran
"Iran, Islamic Rep.",Iran
"Korea, Rep.",South Korea
"Korea, Republic of",South Korea
Viet Nam,Vietnam
"Hong Kong, China",China
"Tanzania, United Republic of",Tanzania
"Congo, Democratic Republic of the",Congo
"Congo, Dem. Rep.",Congo
"Korea, Dem. People's Rep.",North Korea
"Korea, Dem. People's Rep. of",North Korea
"Venezuela, Bolivarian Rep. of",Venezuela
"Venezuela, RB",Venezuela
"Taiwan, China",China
Cote d'Ivoire,Ivory Coast
Côte d'Ivoire,Ivory Coast
"Yemen, Rep.",Yemen
"Sudan, The Republic of",Sudan
Libyan Arab Jamahiriya,Libya
"Macau, China",China
"Moldova, Republic of",Moldova
Kyrgyz Republic,Kyrgyzstan
West Bank and Gaza Strip,Israel
Slovak Republic,Slovakia
"South Sudan, The Republic of",South Sudan
"Macedonia, The former Yugoslav Rep. of",North Macedonia
"Gambia, The",Gambia
"Bahamas, The",Bahamas
Eswatini,Swaziland
Western Sahara,Morocco
Réunion,France
Lao People's Dem. Rep.,Laos
Virgin Islands (US),Virgin Islands
Virgin Islands (U.S.),Virgin Islands
Cabo Verde,Cape Verde
St. Kitts and Nevis,Saint Kitts and Nevis
Curaçao,Curacao
