country,capital,longitude,latitude
Afghanistan,Kabul,34.52813,69.17233
Albania,Tirana,41.3275,19.81889
Algeria,Algiers,36.73225,3.08746
American Samoa,Pago Pago,-14.27806,-170.7025
Andorra,Andorra la Vella,42.50779,1.52109
Angola,Luanda,0.31354,34.07146
Anguilla,The Valley,18.21704,-63.05783
Antigua and Barbuda,St. John's,47.56494,-52.70931
Argentina,Buenos Aires,14.8898,-92.48121
Armenia,Yerevan,40.18111,44.51361
Aruba,Oranjestad,12.52398,-70.02703
Ascension Island,Georgetown,40.7406,-86.50473
Australia,Canberra,-35.28346,149.12807
Austria,Vienna,37.41533,-88.89784
Azerbaijan,Baku,40.37767,49.89201
Bahamas,Nassau,25.05823,-77.34306
Bahrain,Manama,26.22787,50.58565
Bangladesh,Dhaka,23.7104,90.40744
Barbados,Bridgetown,39.15311,-84.63717
Belarus,Minsk,53.9,27.56667
Belgium,Brussels,50.85045,4.34878
Belize,Belmopan,17.25,-88.76667
Benin,Porto-Novo,6.49646,2.60359
Bermuda,Hamilton,42.82701,-75.54462
Bhutan,Thimphu,27.46609,89.64191
Bolivia,La Paz,-16.5,-68.15
Bosnia and Herzegovina,Sarajevo,43.84864,18.35644
Botswana,Gaborone,-24.65451,25.90859
Brazil,Brasília,-15.77972,-47.92972
British Virgin Islands,Road Town,18.42693,-64.62079
Brunei,Bandar Seri Begawan,4.89035,114.94006
Bulgaria,Sofia,42.69751,23.32415
Burkina Faso,Ouagadougou,12.36566,-1.53388
Burundi,Bujumbura,-3.38193,29.36142
Cambodia,Phnom Penh,11.56245,104.91601
Cameroon,Yaoundé,3.86667,11.51667
Canada,Ottawa,41.34559,-88.84258
Cape Verde,Praia,14.93152,-23.51254
Cayman Islands,George Town,19.2866,-81.37436
Central African Republic,Bangui,18.5376,120.7671
Chad,N'Djamena,12.10672,15.0444
Chile,Santiago,11.05806,122.91167
China,Beijing,39.9075,116.39723
Christmas Island,Flying Fish Cove,-10.42172,105.67912
Cocos (Keeling) Islands,West Island,-12.15681,96.82251
Colombia,Bogotá,4.60971,-74.08175
Comoros,Moroni,39.52496,-111.59047
Cook Islands,Avarua,-21.2075,-159.77545
Costa Rica,San José,1.47446,-77.08144
Croatia,Zagreb,45.81444,15.97798
Cuba,Havana,30.62381,-84.41463
Curaçao,Willemstad,12.1084,-68.93354
Cyprus,Nicosia,37.74747,14.39218
Czech Republic,Prague,50.08804,14.42076
Côte d'Ivoire,Yamoussoukro,6.82055,-5.27674
Democratic Republic of the Congo,Kinshasa,-4.32758,15.31357
Denmark,Copenhagen,55.67594,12.56553
Djibouti,Djibouti,11.58901,43.14503
Dominica,Roseau,48.84609,-95.76277
Dominican Republic,Santo Domingo,14.9912,120.74341
